epoch,accuracy,dice_coef,iou,loss,lr,precision,recall,val_accuracy,val_dice_coef,val_iou,val_loss,val_precision,val_recall
10,0.9930456280708313,0.968013346195221,0.9388106465339661,0.031986068934202194,1e-04,0.9733961224555969,0.9638500809669495,0.9902245998382568,0.9434382915496826,0.8967024683952332,0.056561678647994995,0.9412627816200256,0.9426245093345642
11,0.992597758769989,0.9647257924079895,0.9330553412437439,0.03527381271123886,1e-04,0.9719581007957458,0.9598530530929565,0.9897973537445068,0.9415509104728699,0.89386385679245,0.058449119329452515,0.9317633509635925,0.9529098868370056
12,0.9935156106948853,0.971636950969696,0.9453195929527283,0.028363017365336418,1e-04,0.9771531224250793,0.9657618999481201,0.9906435012817383,0.9456706047058105,0.9005144238471985,0.05432930588722229,0.9448477029800415,0.9439354538917542
13,0.9939435124397278,0.9743896722793579,0.9504252672195435,0.025610119104385376,1e-04,0.9801722764968872,0.9680793881416321,0.9907942414283752,0.9441778063774109,0.8979789614677429,0.05582212284207344,0.9487686157226562,0.9411256909370422
14,0.9944251775741577,0.9774423837661743,0.9561477303504944,0.022557441145181656,1e-05,0.9838228225708008,0.9703134298324585,0.9913778901100159,0.9505816102027893,0.9089106917381287,0.04941833019256592,0.9479093551635742,0.9537570476531982
15,0.9946081042289734,0.9788289666175842,0.9587642550468445,0.021170757710933685,1e-05,0.9850495457649231,0.971272885799408,0.9914824366569519,0.9510180354118347,0.9095211029052734,0.04898202419281006,0.948845624923706,0.9540622234344482
16,0.9947093725204468,0.9795639514923096,0.9601587057113647,0.02043670229613781,1e-05,0.9858465790748596,0.9717377424240112,0.9914319515228271,0.9500076770782471,0.9074700474739075,0.04999232664704323,0.9511124491691589,0.9506909847259521
17,0.9948052167892456,0.9802151918411255,0.9613867998123169,0.019784776493906975,1e-05,0.9866543412208557,0.972085177898407,0.9908902645111084,0.9466791749000549,0.9019717574119568,0.053320806473493576,0.9447651505470276,0.9501327276229858
18,0.9949328303337097,0.9811016917228699,0.9630538821220398,0.01889742724597454,1e-05,0.9877827167510986,0.972493588924408,0.991210401058197,0.9492660164833069,0.9062041640281677,0.05073397234082222,0.9483870267868042,0.9501968026161194
19,0.995046079158783,0.9818719625473022,0.9645096659660339,0.018128376454114914,1e-05,0.9887157082557678,0.9729406833648682,0.9914914965629578,0.9518032670021057,0.910332977771759,0.04819671809673309,0.9520580768585205,0.9502402544021606
20,0.9951543807983398,0.9826010465621948,0.9659026265144348,0.017399005591869354,1e-05,0.9895248413085938,0.9734224677085876,0.9915316700935364,0.9520514011383057,0.9108712077140808,0.047948580235242844,0.951123833656311,0.9520866274833679
21,0.9952625632286072,0.983396053314209,0.9674206376075745,0.01660403050482273,1e-05,0.9903734922409058,0.9738730788230896,0.991631805896759,0.9516472816467285,0.9101783633232117,0.048352669924497604,0.953680157661438,0.9511352181434631
22,0.9953485727310181,0.984028160572052,0.968636155128479,0.015971925109624863,1e-05,0.9910407662391663,0.9742549657821655,0.991372287273407,0.9512051939964294,0.9097263216972351,0.04879485443234444,0.9483276009559631,0.9530510902404785
23,0.9954447150230408,0.9846806526184082,0.9698915481567383,0.015319210477173328,1e-05,0.9917842149734497,0.9746465086936951,0.9913619160652161,0.9516494274139404,0.9108902812004089,0.0483504943549633,0.945578932762146,0.9562453031539917
24,0.9955281615257263,0.9852486848831177,0.970984935760498,0.014751248992979527,1e-05,0.9924331307411194,0.9750227332115173,0.9911977648735046,0.9503989219665527,0.9084446430206299,0.04960116744041443,0.9445145130157471,0.9558510184288025
25,0.9956066012382507,0.9857622385025024,0.9719727635383606,0.01423774566501379,1e-05,0.9930129051208496,0.975372850894928,0.9909834861755371,0.9489626288414001,0.9059531688690186,0.05103735998272896,0.944064199924469,0.9529098868370056
26,0.9956811666488647,0.986250102519989,0.9729148745536804,0.0137496842071414,1e-06,0.9935208559036255,0.9757888913154602,0.9910666942596436,0.9493854641914368,0.9065632224082947,0.05061459541320801,0.9458149671554565,0.9516261219978333
